description,category
NestAway ACH 2743,RENT
IRCTC IN,TRANSPORT
IndiGo #3030,TRAVEL
Great Learning ACH 9896,EDUCATION
BookMyShow NEFT 7662,ENTERTAINMENT
Amazon India online,SHOPPING
Udemy online,EDUCATION
Ajio order 698,SHOPPING
YouTube Premium #514,SUBSCRIPTIONS
SBI Bank 96.93,BANKING
NoBroker Rent ACH 8687,RENT
NestAway GPay txn 5039,RENT
Paycheck ACH 5818,INCOME
IRCTC online,TRANSPORT
Zomato +tax 1122.53,RESTAURANTS
Swiggy -promo,RESTAURANTS
Ola ACH 7625,TRANSPORT
Landlord 7529.02 INR,RENT
Mahanagar Gas POS 4345,UTILITIES
HDFC Payroll GPay txn 2435,INCOME
Nykaa UPI 4471,SHOPPING
Indian Oil -promo,FUEL
BookMyShow #7868,ENTERTAINMENT
PVR Cinemas online,ENTERTAINMENT
HDFC Payroll IN,INCOME
IndiGo order 6854,TRAVEL
HDFC Payroll GPay txn 4800,INCOME
Reliance Fresh ACH 1906,GROCERIES
Salary Credit -promo,INCOME
College Fee #4791,EDUCATION
SBI Bank IN,BANKING
Axis Bank UPI 5871,BANKING
Blinkit 2440.68,GROCERIES
Mutual Fund Mumbai,INVESTMENT
Dominos 8351.72,RESTAURANTS
Salary Credit 425.49,INCOME
Employer Inc Mumbai,INCOME
Motilal Oswal -promo,INVESTMENT
Myntra +tax 9148.02,SHOPPING
Rent Payment order 1092,RENT
AWS Subscription ACH 2072,SUBSCRIPTIONS
Zepto IN,GROCERIES
Gaana GPay txn 6472,ENTERTAINMENT
JioFiber UPI 5050,UTILITIES
RedBus Mumbai,TRANSPORT
Cafe Coffee Day Mumbai,RESTAURANTS
ICICI Payroll order 309,INCOME
Cult.fit online,SUBSCRIPTIONS
Headspace GPay txn 4796,SUBSCRIPTIONS
Cafe Coffee Day GPay txn 4922,RESTAURANTS
Doctor Visit +tax 7917.42,HEALTH
Rent Payment order 865,RENT
Mutual Fund POS 8418,INVESTMENT
MSEB Electricity UPI 229,UTILITIES
Ola +tax 3161.64,TRANSPORT
Fortis Hospital ACH 3704,HEALTH
Nykaa ACH 9356,SHOPPING
Tanishq 729.56,SHOPPING
HPCL Fuel Mumbai,FUEL
MakeMyTrip online,TRAVEL
NoBroker Rent order 9574,RENT
BigBasket online,GROCERIES
OLA Bangalore,TRANSPORT
Myntra Mumbai,SHOPPING
Reliance Fuel #3165,FUEL
Nature's Basket +tax 7656.43,GROCERIES
Reliance Fuel ACH 2110,FUEL
Paycheck UPI 5766,INCOME
MakeMyTrip 7953.17 INR,TRAVEL
Bharat Petroleum 5058.65,FUEL
SBI Bank ACH 467,BANKING
Groww UPI 5396,INVESTMENT
Pharmeasy #2861,HEALTH
Yatra.com Mumbai,TRAVEL
Amazon India ACH 9203,SHOPPING
OYO Rooms +tax 8549.79,TRAVEL
Airtel Fiber POS 3999,UTILITIES
IndiGo +tax 1580.84,TRAVEL
Rent Payment order 8021,RENT
Bharat Petroleum IN,FUEL
Great Learning NEFT 6206,EDUCATION
Salary Credit NEFT 7543,INCOME
Flipkart 5397.52 INR,SHOPPING
Amazon Prime Video Mumbai,ENTERTAINMENT
Amazon Web Services UPI 8619,SUBSCRIPTIONS
Fortis Hospital ACH 9361,HEALTH
HPCL Fuel online,FUEL
RedBus 1183.27,TRANSPORT
IndiGo IN,TRAVEL
Mahanagar Gas NEFT 8822,UTILITIES
Zepto App UPI 2307,GROCERIES
OYO Rooms ACH 3199,TRAVEL
Prime Music +tax 7577.23,ENTERTAINMENT
Bharat Petroleum Mumbai,FUEL
Indian Oil 6905.79 INR,FUEL
HPCL Fuel -promo,FUEL
RedBus POS 5945,TRANSPORT
Grocery Market IN,GROCERIES
Mahanagar Gas online,UTILITIES
Sony LIV GPay txn 5905,ENTERTAINMENT
ICICI Bank online,BANKING
Canva Pro GPay txn 1568,SUBSCRIPTIONS
Blinkit GPay txn 9307,GROCERIES
Landlord UPI 5966,RENT
Ajio #7520,SHOPPING
JioFiber 1398.80,UTILITIES
Uber ACH 8316,TRANSPORT
Pharmeasy online,HEALTH
Flip cart +tax 9088.17,SHOPPING
Cult.fit NEFT 5447,SUBSCRIPTIONS
Dropbox plan +tax 8462.76,SUBSCRIPTIONS
Cult.fit +tax 2857.91,SUBSCRIPTIONS
SBI Bank 7734.43,BANKING
MakeMyTrip IN,TRAVEL
Fortis Hospital 5321.45,HEALTH
Amazon Prime Video UPI 4894,ENTERTAINMENT
ICICI Payroll ACH 4881,INCOME
UpGrad IN,EDUCATION
Mahanagar Gas +tax 3295.22,UTILITIES
YouTube Premium NEFT 7859,SUBSCRIPTIONS
Cafe Coffee Day +tax 2921.70,RESTAURANTS
Motilal Oswal Bangalore,INVESTMENT
Doctor Visit POS 3114,HEALTH
Spotify 7461.50,ENTERTAINMENT
Tanishq 4032.19,SHOPPING
HDFC Payroll order 2875,INCOME
Vistara 387.56 INR,TRAVEL
Pharmeasy Bangalore,HEALTH
AWS Subscription UPI 1346,SUBSCRIPTIONS
Landlord #9991,RENT
Uber Mumbai,TRANSPORT
PVR Cinemas Bangalore,ENTERTAINMENT
Gaana ACH 3629,ENTERTAINMENT
HDFC +tax 2342.97,BANKING
Uber GPay txn 6547,TRANSPORT
Indian Coffee House NEFT 6733,RESTAURANTS
Bharat Petroleum GPay txn 1545,FUEL
Zmt #8883,RESTAURANTS
Airtel Fiber order 6259,UTILITIES
Salary Credit Bangalore,INCOME
Axis Bank ACH 4652,BANKING
SIP Investment Mumbai,INVESTMENT
Landlord +tax 972.96,RENT
Airport Taxi 9127.96 INR,TRANSPORT
Axis Bank Mumbai,BANKING
Amazon Prime Video order 5133,ENTERTAINMENT
Dropbox plan POS 507,SUBSCRIPTIONS
More Supermarket +tax 1023.26,GROCERIES
Headspace Bangalore,SUBSCRIPTIONS
Flipkart UPI 5462,SHOPPING
Pharmeasy online,HEALTH
Mutual Fund +tax 957.88,INVESTMENT
Amazon Web Services Bangalore,SUBSCRIPTIONS
MakeMyTrip online,TRAVEL
Mahanagar Gas UPI 3004,UTILITIES
Kotak Bank NEFT 4802,BANKING
Air India Mumbai,TRAVEL
Amazon Web Services IN,SUBSCRIPTIONS
Paycheck Bangalore,INCOME
Myntr 5670.05 INR,SHOPPING
Paycheck online,INCOME
Dominos GPay txn 3810,RESTAURANTS
Coursera 5720.99,EDUCATION
More Supermarket IN,GROCERIES
Fortis Hospital Mumbai,HEALTH
Myntra NEFT 5437,SHOPPING
Swiggy -promo,RESTAURANTS
Employer Inc ACH 8024,INCOME
Hotel Booking +tax 5103.41,TRAVEL
Swiggy online,RESTAURANTS
Amazon Prime Video Bangalore,ENTERTAINMENT
OLA online,TRANSPORT
HPCL Fuel #732,FUEL
Cult.fit Bangalore,SUBSCRIPTIONS
Zomato UPI 3714,RESTAURANTS
Employer Inc #7927,INCOME
Canva Pro +tax 9150.54,SUBSCRIPTIONS
Bharat Petroleum 4286.71 INR,FUEL
Zerodha ACH 8721,INVESTMENT
Fortis Hospital -promo,HEALTH
IndiGo #2406,TRAVEL
Sviggy +tax 2719.72,RESTAURANTS
Angel One POS 3175,INVESTMENT
Zommato -promo,RESTAURANTS
HDFC Payroll order 3893,INCOME
NestAway +tax 1249.42,RENT
Angel One #4246,INVESTMENT
Cult.fit #8635,SUBSCRIPTIONS
Nature's Basket 2171.60,GROCERIES
Apartment Dues Bangalore,RENT
BWSSB Water order 7189,UTILITIES
Vistara NEFT 5796,TRAVEL
Dropbox plan NEFT 5826,SUBSCRIPTIONS
Cult.fit order 7225,SUBSCRIPTIONS
Barbeque Nation Mumbai,RESTAURANTS
HDFC Securities +tax 3970.93,INVESTMENT
Myntra -promo,SHOPPING
Airport Taxi GPay txn 6267,TRANSPORT
Amazon Web Services UPI 8042,SUBSCRIPTIONS
Indian Oil IN,FUEL
Axis Bank online,BANKING
Bharat Petroleum 8952.13,FUEL
HPCL Fuel #7875,FUEL
Reliance Fuel NEFT 9909,FUEL
College Fee online,EDUCATION
Haldirams 8011.62,RESTAURANTS
Uber order 4547,TRANSPORT
Bharat Petroleum GPay txn 5967,FUEL
Airtel Fiber +tax 2765.22,UTILITIES
Groww online,INVESTMENT
ICICI Bank order 2569,BANKING
Sony LIV ACH 9950,ENTERTAINMENT
ICICI Payroll IN,INCOME
More Supermarket POS 2735,GROCERIES
Axis Bank -promo,BANKING
IndiGo 2687.37,TRAVEL
Reliance Fuel 5427.93,FUEL
ICICI Direct +tax 1009.77,INVESTMENT
Doctor Visit GPay txn 2177,HEALTH
Amazon India Bangalore,SHOPPING
Mutual Fund #4474,INVESTMENT
Salary Credit POS 3998,INCOME
Apartment Dues GPay txn 3216,RENT
Employer Inc Mumbai,INCOME
Cafe Coffee Day 9028.63 INR,RESTAURANTS
MakeMyTrip -promo,TRAVEL
Headspace Mumbai,SUBSCRIPTIONS
Flipkart UPI 6479,SHOPPING
Croma Bangalore,SHOPPING
Amazon Web Services ACH 7998,SUBSCRIPTIONS
School Payment online,EDUCATION
Apollo Clinic Bangalore,HEALTH
MSEB Electricity IN,UTILITIES
Croma UPI 7876,SHOPPING
Amazon India ACH 4334,SHOPPING
Indian Oil GPay txn 6594,FUEL
BigBasket ACH 6366,GROCERIES
SIP Investment #3839,INVESTMENT
Amazon India order 3270,SHOPPING
Fortis Hospital +tax 9407.69,HEALTH
Headspace order 4798,SUBSCRIPTIONS
HDFC Bank GPay txn 465,BANKING
Cult.fit GPay txn 1543,SUBSCRIPTIONS
Disney+ Hotstar order 8689,ENTERTAINMENT
ICICI Payroll +tax 8391.15,INCOME
Canva Pro -promo,SUBSCRIPTIONS
Haldirams #3553,RESTAURANTS
Byju's order 3520,EDUCATION
Doctor Visit 9869.59,HEALTH
JioFiber online,UTILITIES
Employer Inc 7308.05 INR,INCOME
Zomato +tax 5532.43,RESTAURANTS
RedBus Mumbai,TRANSPORT
Dropbox plan UPI 8132,SUBSCRIPTIONS
Byju's order 7595,EDUCATION
BESCOM POS 9743,UTILITIES
Salary Credit #7808,INCOME
IndiGo #8213,TRAVEL
Uber 1900.11 INR,TRANSPORT
ICICI Direct Mumbai,INVESTMENT
1mg Pharmacy Bangalore,HEALTH
BESCOM 5092.99,UTILITIES
School Payment 9581.94,EDUCATION
Mahanagar Gas 4523.05 INR,UTILITIES
Netflix online,ENTERTAINMENT
MSEB Electricity 3856.41 INR,UTILITIES
Gaana POS 6431,ENTERTAINMENT
SBI Bank #7456,BANKING
NestAway NEFT 7501,RENT
Axis Bank +tax 8899.75,BANKING
BWSSB Water order 4732,UTILITIES
Spotify Mumbai,ENTERTAINMENT
IRCTC NEFT 5992,TRANSPORT
Doctor Visit ACH 9497,HEALTH
School Payment GPay txn 2745,EDUCATION
AWS Subscription order 8254,SUBSCRIPTIONS
Pharmeasy #5344,HEALTH
GoFirst POS 1011,TRAVEL
UpGrad GPay txn 5616,EDUCATION
YouTube Premium Bangalore,SUBSCRIPTIONS
Zmt UPI 7074,RESTAURANTS
Spotify 7755.82 INR,ENTERTAINMENT
Nature's Basket Bangalore,GROCERIES
Tanishq #7035,SHOPPING
Zommato 2842.55,RESTAURANTS
ICICI Direct 9331.14 INR,INVESTMENT
Apartment Dues order 1822,RENT
ICICI Bank GPay txn 651,BANKING
Ajio 7033.02,SHOPPING
Disney+ Hotstar IN,ENTERTAINMENT
More Supermarket 1114.37,GROCERIES
Uber POS 3567,TRANSPORT
Amazon Web Services +tax 1862.89,SUBSCRIPTIONS
Rent Payment POS 7872,RENT
Kotak Bank Bangalore,BANKING
Yatra.com 1872.30,TRAVEL
Croma 1417.43,SHOPPING
HPCL Fuel +tax 1456.31,FUEL
HPCL Fuel +tax 3217.21,FUEL
Indian Oil NEFT 6772,FUEL
Myntr NEFT 6005,SHOPPING
Sony LIV -promo,ENTERTAINMENT
Sharekhan #3016,INVESTMENT
Flipkart 9277.72 INR,SHOPPING
Nykaa UPI 6211,SHOPPING
Rent Payment ACH 8001,RENT
MakeMyTrip online,TRAVEL
Cafe Coffee Day UPI 6500,RESTAURANTS
Unacademy GPay txn 3973,EDUCATION
1mg Pharmacy Mumbai,HEALTH
Apollo Clinic 1400.55 INR,HEALTH
Dropbox plan IN,SUBSCRIPTIONS
MSEB Electricity #3397,UTILITIES
Flipkart #1047,SHOPPING
Bharat Petroleum POS 9762,FUEL
Dominos +tax 1292.75,RESTAURANTS
Indian Coffee House UPI 6365,RESTAURANTS
HDFC Payroll order 8191,INCOME
Amazon Web Services -promo,SUBSCRIPTIONS
Blinkit Bangalore,GROCERIES
SIP Investment IN,INVESTMENT
Nature's Basket NEFT 4069,GROCERIES
Hdfc Bank #4787,BANKING
GoFirst UPI 9749,TRAVEL
Spotify UPI 4918,ENTERTAINMENT
Dominos UPI 8475,RESTAURANTS
Great Learning GPay txn 8242,EDUCATION
Paycheck #5056,INCOME
ICICI Payroll GPay txn 5343,INCOME
Reliance Fuel POS 659,FUEL
MakeMyTrip Mumbai,TRAVEL
Reliance Fresh 4379.57 INR,GROCERIES
Bharat Petroleum online,FUEL
Yatra.com IN,TRAVEL
Fortis Hospital online,HEALTH
Cafe Coffee Day POS 3767,RESTAURANTS
Haldirams ACH 8149,RESTAURANTS
Myntra Bangalore,SHOPPING
BookMyShow #2144,ENTERTAINMENT
Reliance Fuel POS 600,FUEL
GoFirst -promo,TRAVEL
MSEB Electricity #3562,UTILITIES
Airtel Fiber NEFT 4124,UTILITIES
Apollo Clinic online,HEALTH
Reliance Fresh ACH 4658,GROCERIES
BWSSB Water POS 2467,UTILITIES
Mutual Fund UPI 7645,INVESTMENT
IRCTC NEFT 1685,TRANSPORT
Unacademy NEFT 1982,EDUCATION
Kotak Bank UPI 8664,BANKING
Apollo Clinic Bangalore,HEALTH
HDFC Payroll #375,INCOME
BookMyShow #2378,ENTERTAINMENT
Blinkit Mumbai,GROCERIES
Axis Bank UPI 406,BANKING
Fortis Hospital IN,HEALTH
Udemy NEFT 9173,EDUCATION
Kotak Bank -promo,BANKING
Uber -promo,TRANSPORT
AWS Subscription online,SUBSCRIPTIONS
Flipkart 7702.02 INR,SHOPPING
JioFiber +tax 6279.08,UTILITIES
Hotel Booking 7560.91 INR,TRAVEL
Kotak Bank -promo,BANKING
Spotify #8563,ENTERTAINMENT
Rent Payment NEFT 4279,RENT
Cafe Coffee Day #6821,RESTAURANTS
Tanishq ACH 1302,SHOPPING
NestAway 6271.42,RENT
IRCTC Bangalore,TRANSPORT
Fortis Hospital #8753,HEALTH
Tanishq UPI 9522,SHOPPING
NoBroker Rent ACH 8880,RENT
Nature's Basket NEFT 652,GROCERIES
NoBroker Rent Bangalore,RENT
Kotak Bank +tax 318.12,BANKING
India Oil IN,FUEL
MSEB Electricity Bangalore,UTILITIES
1mg Pharmacy GPay txn 8118,HEALTH
Yatra.com 4198.41,TRAVEL
Pharmeasy 1944.78 INR,HEALTH
Disney+ Hotstar -promo,ENTERTAINMENT
1mg Pharmacy NEFT 7520,HEALTH
AWS Subscription POS 7028,SUBSCRIPTIONS
Grocery Market +tax 8142.70,GROCERIES
SBI Bank 8684.11,BANKING
Tanishq -promo,SHOPPING
Rent Payment order 2663,RENT
Nature's Basket Bangalore,GROCERIES
Rent Payment +tax 8112.33,RENT
Kotak Bank +tax 929.09,BANKING
BWSSB Water Mumbai,UTILITIES
Nykaa ACH 1337,SHOPPING
Bharat Petroleum POS 5806,FUEL
Motilal Oswal #4230,INVESTMENT
HDFC Payroll online,INCOME
1mg Pharmacy POS 7277,HEALTH
Indian Oil ACH 8624,FUEL
Sharekhan 9278.04,INVESTMENT
Barbeque Nation 7223.29,RESTAURANTS
Axis Bank POS 3396,BANKING
Landlord NEFT 4194,RENT
Unacademy #573,EDUCATION
1mg Pharmacy POS 5751,HEALTH
Axis Bank online,BANKING
Fortis Hospital NEFT 992,HEALTH
HDFC Payroll IN,INCOME
Gaana POS 1424,ENTERTAINMENT
Motilal Oswal Bangalore,INVESTMENT
Landlord ACH 9582,RENT
Angel One Mumbai,INVESTMENT
Airport Taxi +tax 3205.77,TRANSPORT
Pharmeasy +tax 7875.31,HEALTH
1mg Pharmacy #5686,HEALTH
Zepto +tax 3331.87,GROCERIES
Croma online,SHOPPING
Zommato UPI 2579,RESTAURANTS
Canva Pro 4122.48,SUBSCRIPTIONS
Uber GPay txn 1996,TRANSPORT
Cafe Coffee Day online,RESTAURANTS
Zomato online,RESTAURANTS
Cafe Coffee Day online,RESTAURANTS
NestAway IN,RENT
1mg Pharmacy POS 8212,HEALTH
Apollo Clinic online,HEALTH
BigBasket IN,GROCERIES
Headspace +tax 4041.42,SUBSCRIPTIONS
Reliance Fuel NEFT 5271,FUEL
Unacademy 9597.15 INR,EDUCATION
Cult.fit IN,SUBSCRIPTIONS
Motilal Oswal ACH 1189,INVESTMENT
Gaana IN,ENTERTAINMENT
Angel One POS 908,INVESTMENT
IndiGo 2291.18 INR,TRAVEL
Pharmeasy GPay txn 9318,HEALTH
Zomato Bangalore,RESTAURANTS
IndiGo 9056.03,TRAVEL
Axis Bank 9939.01 INR,BANKING
Blinkit IN,GROCERIES
Sony LIV IN,ENTERTAINMENT
ICICI Payroll IN,INCOME
Pharmeasy Mumbai,HEALTH
Blinkit order 7801,GROCERIES
Barbeque Nation +tax 7808.04,RESTAURANTS
Cafe Coffee Day 8680.01 INR,RESTAURANTS
Hotel Booking 6331.84 INR,TRAVEL
BigBasket GPay txn 2918,GROCERIES
Tanishq #2261,SHOPPING
Reliance Fresh 6289.86 INR,GROCERIES
Coursera 3615.24,EDUCATION
Fortis Hospital 9757.31 INR,HEALTH
Great Learning -promo,EDUCATION
Rent Payment ACH 4840,RENT
SBI Bank ACH 758,BANKING
HDFC Securities UPI 3028,INVESTMENT
Employer Inc +tax 5555.63,INCOME
Zerodha GPay txn 4799,INVESTMENT
UpGrad #585,EDUCATION
Barbeque Nation POS 1495,RESTAURANTS
Axis Bank +tax 1492.43,BANKING
MSEB Electricity POS 6302,UTILITIES
RedBus NEFT 6693,TRANSPORT
1mg Pharmacy Bangalore,HEALTH
Axis Bank #7084,BANKING
ICICI Bank ACH 9926,BANKING
Headspace GPay txn 4579,SUBSCRIPTIONS
Ola Bangalore,TRANSPORT
Apartment Dues POS 3104,RENT
Dominos ACH 9381,RESTAURANTS
HDFC Payroll NEFT 7090,INCOME
HPCL Fuel online,FUEL
Haldirams IN,RESTAURANTS
Prime Music Bangalore,ENTERTAINMENT
IndiGo 9171.48 INR,TRAVEL
Myntra #1011,SHOPPING
SBI Bank GPay txn 4520,BANKING
IndiGo IN,TRAVEL
IRCTC GPay txn 9612,TRANSPORT
RedBus 3210.69,TRANSPORT
Doctor Visit online,HEALTH
UpGrad Bangalore,EDUCATION
Croma Bangalore,SHOPPING
Flip cart Bangalore,SHOPPING
Amazon Prime Video UPI 9706,ENTERTAINMENT
SIP Investment 5741.81 INR,INVESTMENT
HDFC Payroll online,INCOME
Tanishq Mumbai,SHOPPING
BWSSB Water GPay txn 981,UTILITIES
Dominos IN,RESTAURANTS
BigBasket Mumbai,GROCERIES
Amazon Prime Video 9205.79 INR,ENTERTAINMENT
Haldirams UPI 1632,RESTAURANTS
Employer Inc +tax 8613.75,INCOME
BESCOM -promo,UTILITIES
Motilal Oswal #4628,INVESTMENT
Yatra.com UPI 8782,TRAVEL
Ola NEFT 3788,TRANSPORT
Salary Credit 5671.18 INR,INCOME
JioFiber NEFT 8079,UTILITIES
Amazon Web Services GPay txn 3322,SUBSCRIPTIONS
Sony LIV Bangalore,ENTERTAINMENT
Motilal Oswal Bangalore,INVESTMENT
College Fee online,EDUCATION
Doctor Visit IN,HEALTH
BESCOM UPI 2551,UTILITIES
OYO Rooms IN,TRAVEL
Motilal Oswal ACH 3586,INVESTMENT
Barbeque Nation +tax 9952.31,RESTAURANTS
Angel One +tax 1885.82,INVESTMENT
MSEB Electricity UPI 8258,UTILITIES
Byju's online,EDUCATION
Coursera order 8969,EDUCATION
Paycheck NEFT 9304,INCOME
Rent Payment order 1120,RENT
Grocery Market 1417.12 INR,GROCERIES
Headspace ACH 1983,SUBSCRIPTIONS
Apartment Dues IN,RENT
BigBasket online,GROCERIES
SBI Bank #9274,BANKING
Airport Taxi +tax 6446.40,TRANSPORT
HPCL Fuel Bangalore,FUEL
Unacademy UPI 9200,EDUCATION
Tanishq 2960.63 INR,SHOPPING
Headspace 3277.57,SUBSCRIPTIONS
Swiggy order 1721,RESTAURANTS
BigBasket GPay txn 2750,GROCERIES
Blinkit GPay txn 1815,GROCERIES
Landlord Bangalore,RENT
JioFiber IN,UTILITIES
Great Learning -promo,EDUCATION
HPCL Fuel GPay txn 4942,FUEL
Disney+ Hotstar -promo,ENTERTAINMENT
NestAway GPay txn 3640,RENT
BigBasket Mumbai,GROCERIES
Reliance Fuel POS 9039,FUEL
Mahanagar Gas +tax 5525.40,UTILITIES
Landlord #7931,RENT
SBI Bank +tax 143.40,BANKING
Haldirams +tax 4641.35,RESTAURANTS
Apollo Clinic GPay txn 9214,HEALTH
Sony LIV NEFT 1353,ENTERTAINMENT
Airport Taxi IN,TRANSPORT
Indian Oil order 8145,FUEL
Zepto UPI 2919,GROCERIES
Sharekhan Bangalore,INVESTMENT
BESCOM online,UTILITIES
Uber order 8878,TRANSPORT
NoBroker Rent NEFT 6958,RENT
HDFC Bank Bangalore,BANKING
Ola NEFT 7376,TRANSPORT
HDFC Payroll Mumbai,INCOME
Gaana +tax 8224.51,ENTERTAINMENT
MSEB Electricity NEFT 1288,UTILITIES
Cafe Coffee Day online,RESTAURANTS
Hdfc Bank order 7611,BANKING
Dominos online,RESTAURANTS
Tanishq IN,SHOPPING
HDFC Securities -promo,INVESTMENT
JioFiber online,UTILITIES
Tanishq NEFT 8462,SHOPPING
Canva Pro +tax 5447.32,SUBSCRIPTIONS
HDFC Payroll IN,INCOME
Fortis Hospital 9341.80 INR,HEALTH
ICICI Bank order 4681,BANKING
Canva Pro order 597,SUBSCRIPTIONS
Reliance Fuel +tax 4853.12,FUEL
Hotel Booking POS 5429,TRAVEL
Headspace +tax 3909.22,SUBSCRIPTIONS
Croma online,SHOPPING
Landlord 2771.66 INR,RENT
School Payment ACH 8286,EDUCATION
Nature's Basket #262,GROCERIES
Netflix POS 343,ENTERTAINMENT
Blinkit UPI 9315,GROCERIES
OLA -promo,TRANSPORT
GoFirst GPay txn 9283,TRAVEL
Dominos Mumbai,RESTAURANTS
HPCL Fuel 6107.72,FUEL
Reliance Fuel #1985,FUEL
Flipkart order 7755,SHOPPING
IndianOil GPay txn 3822,FUEL
Swiggy GPay txn 7471,RESTAURANTS
Coursera Bangalore,EDUCATION
JioFiber POS 4557,UTILITIES
GoFirst NEFT 8905,TRAVEL
Byju's 4541.90,EDUCATION
JioFiber IN,UTILITIES
Fortis Hospital NEFT 6322,HEALTH
Fortis Hospital 4749.83,HEALTH
BWSSB Water UPI 4226,UTILITIES
Gaana Bangalore,ENTERTAINMENT
Dropbox plan Bangalore,SUBSCRIPTIONS
Zerodha order 2459,INVESTMENT
Air India POS 4580,TRAVEL
Nykaa IN,SHOPPING
IRCTC NEFT 7189,TRANSPORT
Yatra.com online,TRAVEL
Barbeque Nation ACH 8151,RESTAURANTS
Rent Payment NEFT 6946,RENT
Vistara ACH 505,TRAVEL
Rapido POS 6344,TRANSPORT
JioFiber ACH 9351,UTILITIES
BESCOM Mumbai,UTILITIES
BookMyShow UPI 1866,ENTERTAINMENT
HDFC Securities 7856.51 INR,INVESTMENT
HDFC Payroll ACH 4412,INCOME
Grocery Market Mumbai,GROCERIES
Sony LIV Bangalore,ENTERTAINMENT
School Payment POS 3966,EDUCATION
PVR Cinemas Bangalore,ENTERTAINMENT
Gaana order 741,ENTERTAINMENT
Cafe Coffee Day order 247,RESTAURANTS
NestAway ACH 3811,RENT
Kotak Bank #9016,BANKING
Myntra.com #1706,SHOPPING
Disney+ Hotstar order 6468,ENTERTAINMENT
1mg Pharmacy -promo,HEALTH
Grocery Market GPay txn 333,GROCERIES
Unacademy -promo,EDUCATION
Byju's +tax 2199.55,EDUCATION
Amazon Prime Video UPI 9295,ENTERTAINMENT
Cafe Coffee Day GPay txn 8354,RESTAURANTS
Zomato +tax 1317.87,RESTAURANTS
SIP Investment NEFT 7863,INVESTMENT
Gaana -promo,ENTERTAINMENT
Reliance Fuel IN,FUEL
UpGrad online,EDUCATION
Mutual Fund POS 7703,INVESTMENT
Rapido UPI 9053,TRANSPORT
Bharat Petroleum 8927.87 INR,FUEL
HDFC Bank GPay txn 4988,BANKING
Uber Mumbai,TRANSPORT
Haldirams 9847.02 INR,RESTAURANTS
IndiGo #2255,TRAVEL
GoFirst POS 8584,TRAVEL
Coursera GPay txn 5726,EDUCATION
Nature's Basket 8755.80 INR,GROCERIES
Airport Taxi GPay txn 7947,TRANSPORT
Upstox Bangalore,INVESTMENT
ICICI Payroll POS 5978,INCOME
Udemy Bangalore,EDUCATION
Coursera -promo,EDUCATION
HDFC Bank UPI 1084,BANKING
Landlord NEFT 3312,RENT
Canva Pro +tax 675.91,SUBSCRIPTIONS
BESCOM -promo,UTILITIES
Mahanagar Gas #5844,UTILITIES
Amazon Prime Video GPay txn 6072,ENTERTAINMENT
ICICI Bank POS 7071,BANKING
Employer Inc NEFT 7614,INCOME
Disney+ Hotstar Mumbai,ENTERTAINMENT
Indian Oil online,FUEL
Netflix Bangalore,ENTERTAINMENT
Unacademy online,EDUCATION
YouTube Premium UPI 4096,SUBSCRIPTIONS
Prime Music 9290.82,ENTERTAINMENT
HDFC Bank Bangalore,BANKING
Coursera POS 5721,EDUCATION
Reliance Fresh 8128.42,GROCERIES
Rapido Mumbai,TRANSPORT
1mg Pharmacy 6530.37,HEALTH
BWSSB Water 7155.38,UTILITIES
Unacademy IN,EDUCATION
AWS Subscription UPI 6459,SUBSCRIPTIONS
Ola Cabs Mumbai,TRANSPORT
Rent Payment order 1276,RENT
Zerodha 5295.29 INR,INVESTMENT
Apollo Clinic ACH 9848,HEALTH
Nature's Basket POS 5273,GROCERIES
Dominos 4892.79 INR,RESTAURANTS
MSEB Electricity 9878.22,UTILITIES
ICICI Direct -promo,INVESTMENT
Blinkit IN,GROCERIES
Disney+ Hotstar Bangalore,ENTERTAINMENT
Cult.fit IN,SUBSCRIPTIONS
RedBus #6653,TRANSPORT
SBI Bank order 1251,BANKING
UpGrad -promo,EDUCATION
Rent Payment #4252,RENT
Unacademy IN,EDUCATION
IRCTC Mumbai,TRANSPORT
SBI Bank 7602.74 INR,BANKING
Coursera Bangalore,EDUCATION
ICICI Bank GPay txn 8648,BANKING
Croma +tax 6441.96,SHOPPING
Airport Taxi order 9856,TRANSPORT
SBI Bank order 9484,BANKING
Doctor Visit #3433,HEALTH
SBI Bank -promo,BANKING
Disney+ Hotstar -promo,ENTERTAINMENT
HDFC Bangalore,BANKING
Air India -promo,TRAVEL
Yatra.com UPI 4900,TRAVEL
Paycheck Bangalore,INCOME
Ola Bangalore,TRANSPORT
Byju's GPay txn 8466,EDUCATION
NoBroker Rent +tax 9446.35,RENT
ICICI Payroll POS 2450,INCOME
Rapido GPay txn 6001,TRANSPORT
Great Learning POS 938,EDUCATION
BESCOM Mumbai,UTILITIES
Angel One NEFT 2159,INVESTMENT
Croma 4368.57,SHOPPING
Paycheck IN,INCOME
1mg Pharmacy +tax 2702.27,HEALTH
JioFiber POS 562,UTILITIES
SBI Bank -promo,BANKING
BookMyShow online,ENTERTAINMENT
Zerodha UPI 4267,INVESTMENT
Swggy 1833.11 INR,RESTAURANTS
HPCL Fuel order 3559,FUEL
Pharmeasy ACH 4439,HEALTH
Byju's 431.80 INR,EDUCATION
MakeMyTrip -promo,TRAVEL
BigBasket ACH 7244,GROCERIES
Salary Credit +tax 5398.74,INCOME
India Oil NEFT 8429,FUEL
